"Disease1","Disease2","TestValue","ExpectedValue","Variance","PValue","IsPositive","AdjustedPValue"
"condition_605","condition_612",23,6.79996371473688,6.74243282272362,2.20336415779343e-10,TRUE,2.80267920871324e-06
"condition_410","condition_1637",44,17.7970671099435,17.7820362743885,2.58547294684774e-10,TRUE,3.28872158839033e-06
"condition_202","condition_205",125,72.6407306821679,71.2532406472439,2.7724877948998e-10,TRUE,3.52660447511255e-06
"condition_1801","condition_1817",342,245.599106051496,242.824742336099,3.07863179394019e-10,TRUE,3.91601964189192e-06
"condition_1619","condition_1640",25,7.76674634024101,7.76308853475877,3.10223513544372e-10,TRUE,3.94604309228441e-06
"condition_425","condition_430",8,1.21060430211476,1.2105129808106,3.39576256003227e-10,TRUE,4.31940997636105e-06
"condition_202","condition_206",52,22.7804580482575,22.703960386318,4.33118541032229e-10,TRUE,5.50926784192995e-06
"condition_1198","condition_1298",31,10.86758976215,10.8599481389592,5.00766872413294e-10,TRUE,6.3697546170971e-06
"condition_408","condition_412",44,18.0858508444221,18.0704007906267,5.43390443752401e-10,TRUE,6.91192644453054e-06
"condition_104","condition_407",27,8.88344410629755,8.87236822634197,5.9297344812137e-10,TRUE,7.54262226010383e-06
"condition_305","condition_313",162,101.184886302265,100.037177788613,5.99485794339216e-10,TRUE,7.62545930399483e-06
"condition_202","condition_1804",2348,2084.42061012035,1892.56532591895,6.85740020323067e-10,TRUE,8.72261305850941e-06
"condition_705","condition_719",17,4.36522363612118,4.3643618266576,7.33566207777869e-10,TRUE,9.33096216293449e-06
"condition_708","condition_711",15,3.58924955772516,3.58814136702783,8.51195225415324e-10,TRUE,1.08272032672829e-05
"condition_914","condition_1015",13,2.84481157140976,2.8441585943598,8.63567106712537e-10,TRUE,1.09845735973835e-05
"condition_432","condition_1817",103,57.4377513946934,57.290943260268,8.7465268361342e-10,TRUE,1.11255821355627e-05
"condition_706","condition_709",10,1.84459831513268,1.84445127491418,9.5676133682332e-10,TRUE,1.21700042043926e-05
"condition_203","condition_411",33,12.1626857093521,12.1565661236493,1.14093723357911e-09,TRUE,1.45127216111263e-05
"condition_412","condition_1628",12,2.51922364818545,2.51861122746084,1.1577130365481e-09,TRUE,1.47261098248918e-05
"condition_116","condition_421",5,0.557257564434644,0.557216092320657,1.32704869315603e-09,TRUE,1.68800593769447e-05
"condition_306","condition_1898",212,141.506179939108,140.528612060622,1.36885336399217e-09,TRUE,1.74118147899804e-05
"condition_405","condition_1628",11,2.19632962648271,2.19596388759415,1.417433503903e-09,TRUE,1.80297541696462e-05
"condition_305","condition_398",172,110.142067182608,108.888888269759,1.53381540801689e-09,TRUE,1.95101319899748e-05
"condition_423","condition_719",23,7.16498589722165,7.16289406198407,1.64305391514574e-09,TRUE,2.08996458006538e-05
"condition_109","condition_198",36,13.9397351987095,13.9163609289759,1.67411373652726e-09,TRUE,2.12947267286267e-05
"condition_709","condition_916",34,12.945872289499,12.9365714291891,2.40432396214629e-09,TRUE,3.05830007985008e-05
"condition_114","condition_306",20,5.85709916496271,5.85321158559687,2.52122100974361e-09,TRUE,3.20699312439387e-05
"condition_712","condition_1617",121,71.6197967442175,71.3780801433364,2.53572485231501e-09,TRUE,3.22544201214469e-05
"condition_1305","condition_1307",10,1.92055646300618,1.91601490508249,2.65910193864016e-09,TRUE,3.38237766595028e-05
"condition_306","condition_1112",103,58.5724591454812,58.315674383537,2.98115943042632e-09,TRUE,3.79203479550228e-05
"condition_911","condition_1407",4,0.386102301055447,0.386067201936637,3.0088003200035e-09,TRUE,3.82719400704445e-05
"condition_410","condition_423",54,25.0109500426535,24.9826277441798,3.31919891571886e-09,TRUE,4.22202102079439e-05
"condition_1110","condition_1113",172,111.440325235268,109.043543694142,3.32750027531858e-09,TRUE,4.23258035020523e-05
"condition_398","condition_498",44,18.8520898594895,18.8361822029707,3.42911454787043e-09,TRUE,4.36183370489119e-05
"condition_1803","condition_1809",14,3.37957461649908,3.37886197468884,3.78592557304103e-09,TRUE,4.81569732890819e-05
"condition_1817","condition_1998",26,8.83697046426882,8.83324173221972,3.85315690465404e-09,TRUE,4.90121558271994e-05
"condition_423","condition_705",81,43.2088903636217,43.1328076006499,4.35237001994437e-09,TRUE,5.53621466536924e-05
"condition_798","condition_1098",13,3.01669860845414,3.01618271878761,4.50516701722137e-09,TRUE,5.73057244590558e-05
"condition_306","condition_1804",2153,1914.00802327553,1745.76119614875,5.32831923027999e-09,TRUE,6.77762206091615e-05
"condition_118","condition_120",4,0.400802660233278,0.400768217284224,6.52634268849539e-09,TRUE,8.30150789976614e-05
"condition_206","condition_712",21,6.52031240877075,6.51588905291537,7.03758162856616e-09,TRUE,8.95180383153616e-05
"condition_1811","condition_1813",12,2.69613068061978,2.69575160934586,7.28232774083182e-09,TRUE,9.26312088633808e-05
"condition_108","condition_1605",98,55.7682791112804,55.6233523632306,7.45804418222917e-09,TRUE,9.4866321997955e-05
"condition_104","condition_429",9,1.6957354585899,1.69505299756923,1.0099737379754e-08,TRUE,0.000128468659470471
"condition_430","condition_432",20,6.13643603485549,6.1344625507606,1.08792818087622e-08,TRUE,0.000138384464607455
"condition_304","condition_311",102,59.1996069416031,58.7595728145173,1.1784613618282e-08,TRUE,0.000149900285224547
"condition_708","condition_1616",51,23.8510800384506,23.8264624791182,1.33430544391189e-08,TRUE,0.000169723652465592
"condition_414","condition_423",40,17.0710935536727,17.0539505278517,1.40989060426477e-08,TRUE,0.000179338084862479
"condition_411","condition_1634",64,32.4128800438612,32.3682580329166,1.41200413583675e-08,TRUE,0.000179606926078435
"condition_606","condition_710",3,0.246540418868069,0.24653561930077,1.46577363580036e-08,TRUE,0.000186446406473806
"condition_1108","condition_1113",54,25.9040321275151,25.7942930187411,1.58299818808771e-08,TRUE,0.000201357369524757
"condition_998","condition_1298",14,3.56674715019854,3.56575204385383,1.64601043906032e-08,TRUE,0.000209372527848473
"condition_208","condition_426",24,8.20138491481415,8.19841444908305,1.7178220956815e-08,TRUE,0.000218506970570687
"condition_906","condition_1407",4,0.421785871434825,0.421656997256444,1.78963842634161e-08,TRUE,0.000227642007830653
"condition_404","condition_424",18,5.31301268720181,5.31173324706918,1.84809325620705e-08,TRUE,0.000235077462189537
"condition_116","condition_304",139,88.0890439832317,85.7026418885998,1.90558775425842e-08,TRUE,0.000242390762341671
"condition_432","condition_1616",46,20.8908271838105,20.8720645804399,1.94209783810351e-08,TRUE,0.000247034845006766
"condition_411","condition_423",90,50.8855078110265,50.7751060150185,2.01832583979211e-08,TRUE,0.000256731046821556
"condition_606","condition_612",6,0.88004979934828,0.879522528524687,2.3891819855848e-08,TRUE,0.000303903948566387
"condition_115","condition_429",3,0.254131521578875,0.254126349766213,2.56177326019014e-08,TRUE,0.000325857558696186
"condition_914","condition_915",42,18.5800000069403,18.5363905076245,2.6686389764663e-08,TRUE,0.000339450877806513
"condition_906","condition_1704",7,1.15697507142121,1.15685823976808,2.77890060962349e-08,TRUE,0.000353476157544108
"condition_206","condition_412",24,8.35978321092688,8.35236945332947,3.12054689866059e-08,TRUE,0.000396933565509627
"condition_298","condition_612",13,3.2551465615861,3.25176611335765,3.25847462345763e-08,TRUE,0.000414477972103811
"condition_198","condition_1898",87,49.204038850488,49.0917089921326,3.43807996516787e-08,TRUE,0.000437323771569353
"condition_108","condition_705",54,26.3676120020498,26.340814188316,3.64273397002179e-08,TRUE,0.000463355760986772
"condition_1110","condition_1119",21,6.90451398869507,6.89333414911532,3.96632900967475e-08,TRUE,0.000504517050030628
"hs_cancer_types_other","condition_598",5,0.656699550554993,0.656530306648171,4.15323191393924e-08,TRUE,0.000528291099453071
"condition_1105","condition_1117",51,24.503265332045,24.4407133743328,4.16945507009103e-08,TRUE,0.000530354684915579
"condition_414","condition_426",59,29.8339170276539,29.7725521763151,4.51398758372079e-08,TRUE,0.000574179220649284
"condition_116","condition_911",9,1.82123643690719,1.81815985819732,5.07701146679196e-08,TRUE,0.000645795858575937
"condition_607","condition_711",3,0.264329448868602,0.264319915563254,5.15797662359319e-08,TRUE,0.000656094626521054
"condition_1804","condition_1817",1743,1541.02849690603,1445.35459539003,5.40513725999503e-08,TRUE,0.000687533459471368
"condition_115","condition_1307",3,0.266303967733455,0.266295910013633,5.87111786964911e-08,TRUE,0.000746806193019367
"condition_1804","condition_1898",1683,1484.85301614308,1399.66045016919,5.90723434612528e-08,TRUE,0.000751400208827136
"condition_1703","condition_1704",27,10.1398452321333,10.1355961028268,5.92271516275389e-08,TRUE,0.000753369368702295
"condition_906","condition_908",11,2.56417543714039,2.54044450471412,6.02802343596665e-08,TRUE,0.000766764581054958
"condition_202","condition_719",32,12.9618449489613,12.9528382719638,6.12123077781135e-08,TRUE,0.000778620554937604
"condition_714","condition_719",8,1.50879771955933,1.50869769384346,6.29400174201322e-08,TRUE,0.000800597021584082
"condition_709","condition_1615",7,1.20718986160047,1.20713310176996,6.73106212989438e-08,TRUE,0.000856191102922565
"condition_208","condition_423",17,5.11884749799139,5.11770081887939,7.52459881070422e-08,TRUE,0.000957128968721577
"condition_429","condition_1598",5,0.677456604209318,0.677427951657173,7.53118255536478e-08,TRUE,0.0009579664210424
"condition_114","condition_120",3,0.270297537101404,0.270283607777452,7.58195850547594e-08,TRUE,0.00096442512189654
